item.id,length,char,target,word.form,comma.present,sentence.pos,Freq_lemma,Freq_type,POS,м,Sentences_with_mask,sentence.length,word.length,f,word.id
1,short,3,лёд,"лёд,",1,5,"62,5",high,noun,"На болотах оставался ещё лёд, но на берегах реки появилась трава.","На болотах оставался ещё <mask>, но на берегах реки появилась трава.",11,4,"1,795880017",лед
2,short,3,нож,ножа,0,5,"66,6",high,noun,Он ловко поддел концом ножа замочки и они отскочили.,Он ловко поддел концом <mask> замочки и они отскочили.,9,4,"1,823474229",ножа
3,short,3,рот,"рот,",1,4,"133,6",high,noun,"Ваня раскрыл было рот, но понял, что что-то не так, и промолчал.","Ваня раскрыл было <mask>, но понял, что что-то не так, и промолчал.",12,4,"2,125806458",рот
4,short,3,ухо,ухо,0,7,"139,3",high,noun,"Сделав мне знак помолчать, он приложил ухо к двери.","Сделав мне знак помолчать, он приложил <mask> к двери.",9,3,"2,143951116",ухо
5,short,3,шаг,шаг,0,3,"203,8",high,noun,"Я сделала шаг навстречу: приехала к ней, попросив выслушать меня.","Я сделала <mask> навстречу: приехала к ней, попросив выслушать меня.",10,3,"2,30920418",шаг
6,short,3,лес,"лес,",1,5,"211,5",high,noun,"Дорога ведет в глухой лес, петляя по склонам.","Дорога ведет в глухой <mask>, петляя по склонам.",8,4,"2,325310372",лес
7,short,3,муж,мужу,0,3,263,high,noun,"Не поручайту мужу ухаживать за рыбками в аквариуме, он обязательно забудет.","Не поручайту <mask> ухаживать за рыбками в аквариуме, он обязательно забудет.",11,4,"2,419955748",мужу
8,short,3,дом,"дом,",1,8,"792,6",high,noun,"Выходя замуж, ты надеялась обрести спокойствие, уютный дом, крепкую семью.","Выходя замуж, ты надеялась обрести спокойствие, уютный <mask>, крепкую семью.",10,4,"2,899054068",дом
9,short,4,весь,всей,0,6,"3947,3",high,adj,И не надо ставить это целью всей своей жизни.,И не надо ставить это целью <mask> своей жизни.,9,4,"3,596300135",всей
10,short,4,иной,иной,0,7,"348,3",high,adj,У нас в Волгограде многие придерживаются иной точки зрения.,У нас в Волгограде многие придерживаются <mask> точки зрения.,9,4,"2,541953474",иной
11,short,4,злой,злые,0,3,"61,5",high,adj,Очень тогда злые попадались люди.,Очень тогда <mask> попадались люди.,5,4,"1,788875116",злые
12,short,4,юный,юный,0,5,"53,8",high,adj,На привале у озера юный турист вручил товарищам ведро и кувшин.,На привале у озера <mask> турист вручил товарищам ведро и кувшин.,11,4,"1,730782276",юный
13,short,4,рыба,"рыбу,",1,6,86,high,noun,"Наживка, на которую он ловил рыбу, быстро закончилась.","Наживка, на которую он ловил <mask>, быстро закончилась.",8,5,"1,934498451",рыбу
14,short,4,снег,снег,0,9,"125,2",high,noun,Мне было лень идти на стоянку и сметать снег с машины.,Мне было лень идти на стоянку и сметать <mask> с машины.,11,4,"2,097604329",снег
15,short,4,река,"реки,",1,4,131,high,noun,"Город, раскинувшийся вдоль реки, состоял из двух частей.","Город, раскинувшийся вдоль <mask>, состоял из двух частей.",8,5,"2,117271296",реки
16,short,4,угол,углу,0,3,"168,1",high,noun,В каждом углу комнаты сидели по две кошки.,В каждом <mask> комнаты сидели по две кошки.,8,4,"2,225567713",углу
17,short,4,врач,"врач,",1,3,"173,1",high,noun,"Здесь потребуется врач, который будет лечить заболевших в экспедиции?","Здесь потребуется <mask>, который будет лечить заболевших в экспедиции?",9,5,"2,238297068",врач
18,short,4,банк,"банке,",1,8,"178,1",high,noun,"У моего отца был счёт в швейцарском банке, он был лесоторговец!","У моего отца был счёт в швейцарском <mask>, он был лесоторговец!",11,6,"2,250663919",банке
19,short,4,союз,союзу,0,7,"173,9",high,noun,Количество денег в обороте выросло благодаря союзу с американским банком.,Количество денег в обороте выросло благодаря <mask> с американским банком.,10,5,"2,240299582",союзу
20,short,4,лето,летом,0,8,135,high,noun,Возможности этих перемен будут обсуждаться в Париже летом будущего года.,Возможности этих перемен будут обсуждаться в Париже <mask> будущего года.,10,5,"2,130333768",летом
21,short,4,дать,даст,0,3,"573,1",high,verb,Применение микросхемы даст возможность уменьшить вес бытовой электроники.,Применение микросхемы <mask> возможность уменьшить вес бытовой электроники.,8,4,"2,758230408",даст
22,short,4,есть,есть,0,3,"94,7",high,verb,Однако здесь есть и свои актуальные проблемы.,Однако здесь <mask> и свои актуальные проблемы.,7,4,"1,976349979",есть
23,short,4,уйти,"уйти,",1,6,"315,6",high,verb,"Если мы позволим этим людям уйти, наши проекты станут гораздо беднее.","Если мы позволим этим людям <mask>, наши проекты станут гораздо беднее.",11,5,"2,499136995",уйти
24,short,4,жить,жить,0,5,"725,5",high,verb,"Он признаёт право каждого жить так, как ему удобно.","Он признаёт право каждого <mask> так, как ему удобно.",9,4,"2,860637417",жить
