item.id,length,char,target,word.form,Freq_type,POS,Sentences_with_mask,,модели_все предсказания,модели_не_s_не_e,люди_все предсказания,люди_не_s_не_e
1,short,3,лёд,"лёд,",high,noun,"На болотах оставался ещё <mask>, но на берегах реки появилась трава.","Подлежащее, Видна вершина",0,0,"0,007","0,022"
2,short,3,нож,ножа,high,noun,Он ловко поддел концом <mask> замочки и они отскочили.,Видна вершина,"0,286","0,286","0,007","0,008"
3,short,3,рот,"рот,",high,noun,"Ваня раскрыл было <mask>, но понял, что что-то не так, и промолчал.",Видна вершина,0,0,0,0
4,short,3,ухо,ухо,high,noun,"Сделав мне знак помолчать, он приложил <mask> к двери.",Видна вершина,0,0,0,0
5,short,3,шаг,шаг,high,noun,"Я сделала <mask> навстречу: приехала к ней, попросив выслушать меня.",Видна вершина,0,0,0,0
6,short,3,лес,"лес,",high,noun,"Дорога ведет в глухой <mask>, петляя по склонам.",Видна вершина,0,0,0,0
7,short,3,муж,мужу,high,noun,"Не поручайту <mask> ухаживать за рыбками в аквариуме, он обязательно забудет.",Видна вершина,"0,429","0,5","0,012","0,019"
8,short,3,дом,"дом,",high,noun,"Выходя замуж, ты надеялась обрести спокойствие, уютный <mask>, крепкую семью.",Видна вершина,0,0,0,0
13,short,4,рыба,"рыбу,",high,noun,"Наживка, на которую он ловил <mask>, быстро закончилась.",Видна вершина,"0,429","0,5",0,0
14,short,4,снег,снег,high,noun,Мне было лень идти на стоянку и сметать <mask> с машины.,Видна вершина,0,0,0,0
15,short,4,река,"реки,",high,noun,"Город, раскинувшийся вдоль <mask>, состоял из двух частей.",Видна вершина,0,0,0,0
16,short,4,угол,углу,high,noun,В каждом <mask> комнаты сидели по две кошки.,Видна вершина,0,0,0,0
17,short,4,врач,"врач,",high,noun,"Здесь потребуется <mask>, который будет лечить заболевших в экспедиции?","Подлежащее, Видна вершина",0,0,0,0
18,short,4,банк,"банке,",high,noun,"У моего отца был счёт в швейцарском <mask>, он был лесоторговец!",Видна вершина,0,0,0,0
19,short,4,союз,союзу,high,noun,Количество денег в обороте выросло благодаря <mask> с американским банком.,Видна вершина,0,0,0,0
27,medium,5,крыша,крыши,high,noun,Каждое утро на самый верх <mask> МГУ поднимается симпатичная научная сотрудница.,Видна вершина,"0,429","0,5",0,0
28,medium,5,вагон,"вагоны,",high,noun,"Музыканты играли на похоронах, разгружали <mask>, жили бедно.",Видна вершина,"0,286","0,286",0,0
29,medium,5,центр,центре,high,noun,"Зоопарк ― это кусочек другого мира, находящийся в самом <mask> нашего района.",Видна вершина,"0,429","0,429",0,0
35,medium,6,молоко,"молоко,",high,noun,"Мама брала меня с собой, и мы, сдав <mask>, ехали гулять.",Видна вершина,0,0,0,0
36,medium,6,собака,"собака,",high,noun,"От смерти его спасла <mask>, приносившая ему еду.","Подлежащее, Видна вершина",0,0,0,0
37,medium,6,расход,расходу,high,noun,"Судя по огромному <mask> воды, они купали слонов.",Видна вершина,0,0,0,0
43,medium,7,подруга,"подруга,",high,noun,"У мамы есть <mask>, которая живёт прямо напротив здания театра.","Подлежащее, Видна вершина",0,0,0,0
44,medium,7,красота,"красоты,",high,noun,"Душа требовала <mask>, и Николай Фомин украсил свой дом резьбой.",Видна вершина,0,0,0,0
45,medium,7,корабль,"кораблей,",high,noun,"За углом ― Морской музей, с бесчисленными моделями <mask>, старинных и современных.",Видна вершина,0,0,0,0
46,medium,7,телефон,"телефон,",high,noun,"Причиной аварии был мобильный <mask>, который отвлекал водителя от дороги.","Подлежащее, Видна вершина",0,0,0,0
51,long,8,лестница,лестнице,high,noun,На ведущей вниз <mask> сосед просил прекратить разговоры.,Видна вершина,0,0,0,0
52,long,8,страница,страницы,high,noun,Этот роман захватывает читателя с первой <mask> и держит до последней.,Видна вершина,"0,286","0,333",0,0
53,long,8,командир,"командиру,",high,noun,"В вопросе послышался упрёк <mask>, словно он был виновником происшедшего.",Видна вершина,0,0,0,0
54,long,8,общество,обществе,high,noun,В современном <mask> семья и школа оказывают большое влиявние на подростков.,Видна вершина,"0,286","0,333",0,0
61,long,9,стоимость,стоимостью,high,noun,Шею Лизы украшало ожерелье <mask> в 15 тысяч долларов.,Видна вершина,"0,143",1,0,0
62,long,9,заявление,заявление,high,noun,На Ольгу Васильевну было написано <mask> в полицию.,"Подлежащее, Видна вершина",0,0,0,0
67,long,10,напряжение,напряжение,high,noun,"Твоё тело расслабляется, и исчезает <mask> в области мышц.","Подлежащее, Видна вершина",0,0,0,0
68,long,10,обстановка,"обстановка,",high,noun,"Стала стабильнее экономическая и политическая <mask>, люди расслабились.","Подлежащее, Видна вершина",0,0,0,0
69,long,10,специалист,специалист,high,noun,"Работы выполняет <mask> от исполнителя, имеющий высокую квалификацию.","Подлежащее, Видна вершина",0,0,0,0
70,long,10,количество,количество,high,noun,Во избежание ожогов надо нанести на лицо небольшое <mask> защитного крема.,Видна вершина,0,0,0,0
73,short,3,фен,фен,low,noun,"Что используют для этой прически, <mask> или ещё что?",Видна вершина,0,0,0,0
74,short,3,лис,лис,low,noun,"Там, недалеко от кухонной двери, сидел <mask> с треугольной мордой.","Подлежащее, Видна вершина",0,0,0,0
75,short,3,вол,"вол,",low,noun,"Что может сделать самый сильный <mask>, если он впряжен в сломанную повозку?","Подлежащее, Видна вершина",0,0,0,0
76,short,3,нюх,нюх,low,noun,У директора школы был тонкий <mask> на талантливых педагогов.,"Подлежащее, Видна вершина",0,0,0,0
77,short,3,сор,сора,low,noun,Он умел из любого <mask> извлекать информацию.,Видна вершина,"0,143","0,143",0,0
78,short,3,сук,сук,low,noun,В темноте Иван задел острый <mask> и чуть не порвал рукав.,Видна вершина,0,0,0,0
80,short,3,лом,лом,low,noun,"В багажнике были лопата, <mask> и грабли.","Подлежащее, Видна вершина",0,0,0,0
85,short,4,крен,крен,low,noun,Наше правительство сделало <mask> на дополнительные инвестиции в развитие науки.,Видна вершина,0,0,0,0
87,short,4,барс,барса,low,noun,На запись голоса <mask> я наткнулся совершенно случайно.,Видна вершина,0,0,0,0
88,short,4,бант,бант,low,noun,Очень хочется заплести <mask> в косу и надеть красивое платье.,Видна вершина,0,0,0,0
89,short,4,уйма,уйма,low,noun,"За два года накопилась <mask> вопросов, на которые надо было ответить.","Подлежащее, Видна вершина",0,0,"0,050","0,167"
90,short,4,мазь,мазь,low,noun,Врач прописал заживляющую <mask> для обработки раны.,Видна вершина,0,0,0,0
91,short,4,фарш,фарш,low,noun,"Она успевала убраться, разморозить <mask> и приготовить ужин всем нам.",Видна вершина,0,0,0,0
92,short,4,стог,"стога,",low,noun,"Я слезал, щупал <mask>, чтобы узнать, сухие ли.",Видна вершина,0,0,0,0
100,medium,5,купон,"купон,",low,noun,"Убедительно просим вас разборчиво заполнять <mask>, желательно печатными буквами.",Видна вершина,0,0,0,0
101,medium,5,шлейф,шлейф,low,noun,За министром труда тянется целый <mask> финансовых скандалов.,"Подлежащее, Видна вершина",0,0,0,0
102,medium,5,крупа,крупу,low,noun,"А промывать манную <mask> перед тем, как варить ее, не пробовали?",Видна вершина,0,0,0,0
107,medium,6,бампер,бампера,low,noun,Ему удалось вскрыть банку об острый край <mask>  своего автомобиля.,Видна вершина,0,0,0,0
108,medium,6,соната,"сонату,",low,noun,"По воскресеньям музыканты, исполнявшие <mask> , собирались в клубе.",Видна вершина,0,0,0,0
110,medium,6,штатив,штатив,low,noun,Мы установили камеру на новый <mask>  и приступили к съемкам.,Видна вершина,0,0,0,0
115,medium,7,соринка,"соринку,",low,noun,"Если я еще увижу здесь хоть <mask> , я тебе уши оторву.",Видна вершина,0,0,"0,190","0,321"
116,medium,7,русалка,русалки,low,noun,И на берегу озера тогда появляются <mask>  и ведьмы.,"Подлежащее, Видна вершина",0,0,0,0
117,medium,7,ремешок,ремешок,low,noun,Под рукавом рубашки виднелся тонкий <mask>  мужских часов.,"Подлежащее, Видна вершина",0,0,0,0
